id,code,calculator_link,decor,structure,name,url,category,sellUnit,label,length,width,description,isNew,thickness,side,producer,additional_info,price_635_m_1,price_700_m_1,price_800_m_1,price_900_m_1,price_1200_m_1,price_600_m_2,price_700_m_2,price_800_m_2,price_900_m_2,price_1200_m_2,url + code,Juan 38 ABS,table_id
recJn67yZPFo5kO0O,J_672_ROOT_3050,recuhD4kuKrbSI4mF,672,ROOT,DĄB SZARY,https://qr-codes-page.vercel.app/product/recJn67yZPFo5kO0O?table=tblHkykZmLJghpL6Z,Blat,"635: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050,635;700;800;900;1200 ,"Blat z krawędzią prostą, oklejany obrzeżem ABS, bez,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 118,68","PLN 237,46","PLN 242,59","PLN 247,72","PLN 262,70","PLN 158,81","PLN 255,19","PLN 260,31","PLN 265,45","PLN 267,08","https://qr-codes-page.vercel.app/product/recJn67yZPFo5kO0O?table=tblHkykZmLJghpL6Z, J_672_ROOT_3050",recuhD4kuKrbSI4mF,tblHkykZmLJghpL6Z
reccZ1WP5C1IaJ9VS,J_9484_PGN_3050,rec7cks6iOkVhLGtd,9484,PGN,OXIDIZED BEAMWOOD,https://qr-codes-page.vercel.app/product/reccZ1WP5C1IaJ9VS?table=tblHkykZmLJghpL6Z,Blat,"635: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050,635;700;800;900;1200 ,"Blat z krawędzią prostą, oklejany obrzeżem ABS, bez,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 118,68","PLN 237,46","PLN 242,59","PLN 247,72","PLN 262,70","PLN 158,81","PLN 255,19","PLN 260,31","PLN 265,45","PLN 267,08","https://qr-codes-page.vercel.app/product/reccZ1WP5C1IaJ9VS?table=tblHkykZmLJghpL6Z, J_9484_PGN_3050",rec7cks6iOkVhLGtd,tblHkykZmLJghpL6Z
recnKygjwpRGsT4Uu,J_3190_CA_3050,recpAMb1qjFEKPF3R,3190,CA,CZARNY CANYON,https://qr-codes-page.vercel.app/product/recnKygjwpRGsT4Uu?table=tblHkykZmLJghpL6Z,Blat,"635: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050,635;700;800;900;1200 ,"Blat z krawędzią prostą, oklejany obrzeżem ABS, bez,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 129,34","PLN 262,00","PLN 267,13","PLN 272,26","PLN 287,24","PLN 175,04","PLN 280,54","PLN 285,64","PLN 290,77","PLN 291,19","https://qr-codes-page.vercel.app/product/recnKygjwpRGsT4Uu?table=tblHkykZmLJghpL6Z, J_3190_CA_3050",recpAMb1qjFEKPF3R,tblHkykZmLJghpL6Z
recm9fQANfzsqE1Jg,J_WE28_V1A_3050,recoH1LvcjLR8bBWr,WE28,V1A,EVEREST BIAŁY,https://qr-codes-page.vercel.app/product/recm9fQANfzsqE1Jg?table=tblHkykZmLJghpL6Z,Blat,"635: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050,635;700;800;900;1200 ,"Blat z krawędzią prostą, oklejany obrzeżem ABS, bez,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 129,34","PLN 262,00","PLN 267,13","PLN 272,26","PLN 287,24","PLN 175,04","PLN 280,54","PLN 285,64","PLN 290,77","PLN 291,19","https://qr-codes-page.vercel.app/product/recm9fQANfzsqE1Jg?table=tblHkykZmLJghpL6Z, J_WE28_V1A_3050",recoH1LvcjLR8bBWr,tblHkykZmLJghpL6Z
recWlYvHO8g00PL4V,J_OL03_OL_3050,rec9xDlCDkrXlh6NI,OL03,OL,MARMUR POSEIDON,https://qr-codes-page.vercel.app/product/recWlYvHO8g00PL4V?table=tblHkykZmLJghpL6Z,Blat,"635: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050,635;700;800;900;1200 ,"Blat z krawędzią prostą, oklejany obrzeżem ABS, bez,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 129,34","PLN 262,00","PLN 267,13","PLN 272,26","PLN 287,24","PLN 175,04","PLN 280,54","PLN 285,64","PLN 290,77","PLN 291,19","https://qr-codes-page.vercel.app/product/recWlYvHO8g00PL4V?table=tblHkykZmLJghpL6Z, J_OL03_OL_3050",rec9xDlCDkrXlh6NI,tblHkykZmLJghpL6Z
recF96hPOiTq0RLkT,J_H262_W06_3050,rec6Up9w9QadzFeq3,H262,W06,POSTARZANE DREWNO,https://qr-codes-page.vercel.app/product/recF96hPOiTq0RLkT?table=tblHkykZmLJghpL6Z,Blat,"635: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050,635;700;800;900;1200 ,"Blat z krawędzią prostą, oklejany obrzeżem ABS, bez,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 129,34","PLN 262,00","PLN 267,13","PLN 272,26","PLN 287,24","PLN 175,04","PLN 280,54","PLN 285,64","PLN 290,77","PLN 291,19","https://qr-codes-page.vercel.app/product/recF96hPOiTq0RLkT?table=tblHkykZmLJghpL6Z, J_H262_W06_3050",rec6Up9w9QadzFeq3,tblHkykZmLJghpL6Z
recF4BOdIXPfa7XPf,J_FC38_CONCRETA_4200,recJvwPAOt5TB3rMs,FC38,CONCRETA,BASSI,https://qr-codes-page.vercel.app/product/recF4BOdIXPfa7XPf?table=tblHkykZmLJghpL6Z,Blat,"635: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,4200,635;700;800;900;1200 ,"Blat z krawędzią prostą, oklejany obrzeżem ABS, bez,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 132,33","PLN 269,39","PLN 274,51","PLN 279,64","PLN 294,63","PLN 175,52","PLN 287,62","PLN 292,75","PLN 297,87","PLN 297,96","https://qr-codes-page.vercel.app/product/recF4BOdIXPfa7XPf?table=tblHkykZmLJghpL6Z, J_FC38_CONCRETA_4200",recJvwPAOt5TB3rMs,tblHkykZmLJghpL6Z
rech1nenGRo02DUqj,J_FC37_CONCRETA_4200,recA9YZlitLdepWEq,FC37,CONCRETA,MASIERI,https://qr-codes-page.vercel.app/product/rech1nenGRo02DUqj?table=tblHkykZmLJghpL6Z,Blat,"635: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,4200,635;700;800;900;1200 ,"Blat z krawędzią prostą, oklejany obrzeżem ABS, bez,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 132,33","PLN 269,39","PLN 274,51","PLN 279,64","PLN 294,63","PLN 175,52","PLN 287,62","PLN 292,75","PLN 297,87","PLN 297,96","https://qr-codes-page.vercel.app/product/rech1nenGRo02DUqj?table=tblHkykZmLJghpL6Z, J_FC37_CONCRETA_4200",recA9YZlitLdepWEq,tblHkykZmLJghpL6Z
recMxpzLo2YHPA1Dz,J_FC36_CONCRETA_4200,recny2BVwADJurVSU,FC36,CONCRETA,MIDENA,https://qr-codes-page.vercel.app/product/recMxpzLo2YHPA1Dz?table=tblHkykZmLJghpL6Z,Blat,"635: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,4200,635;700;800;900;1200 ,"Blat z krawędzią prostą, oklejany obrzeżem ABS, bez,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 132,33","PLN 269,39","PLN 274,51","PLN 279,64","PLN 294,63","PLN 175,52","PLN 287,62","PLN 292,75","PLN 297,87","PLN 297,96","https://qr-codes-page.vercel.app/product/recMxpzLo2YHPA1Dz?table=tblHkykZmLJghpL6Z, J_FC36_CONCRETA_4200",recny2BVwADJurVSU,tblHkykZmLJghpL6Z
reco6SOaqKhJ2e98y,J_F252_BST_3050,recjHsWS1E9fYAp6U,F252,BST,CARRARA,https://qr-codes-page.vercel.app/product/reco6SOaqKhJ2e98y?table=tblHkykZmLJghpL6Z,Blat,"635: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050,635;700;800;900;1200 ,"Blat z krawędzią prostą, oklejany obrzeżem ABS, bez,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 138,45","PLN 284,44","PLN 289,56","PLN 294,70","PLN 309,68","PLN 185,44","PLN 302,17","PLN 307,30","PLN 312,43","PLN 311,82","https://qr-codes-page.vercel.app/product/reco6SOaqKhJ2e98y?table=tblHkykZmLJghpL6Z, J_F252_BST_3050",recjHsWS1E9fYAp6U,tblHkykZmLJghpL6Z
