id,code,decor,structure,name,url,category,sellUnit,label,length,width,description,isNew,thickness,side,producer,additional_info,price_600_m_1,price_700_m_1,price_800_m_1,price_900_m_1,price_1200_m_1,price_600_m_2,price_700_m_2,price_800_m_2,price_900_m_2,price_1200_m_2,url + code
recnWyJogiyOWCe2K,J_1008_GR_3050_4200_38,1008,GR,CIEMNO SZARY,https://qr-codes-page.vercel.app/product/recnWyJogiyOWCe2K,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,38,1_2,Juan,,"PLN 83,77","PLN 165,97","PLN 173,77","PLN 181,56","PLN 204,30","PLN 140,93","PLN 169,10","PLN 177,07","PLN 185,05","PLN 184,28","https://qr-codes-page.vercel.app/product/recnWyJogiyOWCe2K, J_1008_GR_3050_4200_38"
recPUvwX6eB1vxp0U,J_5018_GR_3050_4200_38,5018,GR,GRANIT,https://qr-codes-page.vercel.app/product/recPUvwX6eB1vxp0U,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,38,1_2,Juan,,"PLN 83,77","PLN 165,97","PLN 173,77","PLN 181,56","PLN 204,30","PLN 140,93","PLN 169,10","PLN 177,07","PLN 185,05","PLN 184,28","https://qr-codes-page.vercel.app/product/recPUvwX6eB1vxp0U, J_5018_GR_3050_4200_38"
recT758bo4u3nnzkh,J_4019_MATT_3050_4200_38,4019,MATT,METALLICO,https://qr-codes-page.vercel.app/product/recT758bo4u3nnzkh,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,38,1_2,Juan,,"PLN 83,77","PLN 165,97","PLN 173,77","PLN 181,56","PLN 204,30","PLN 140,93","PLN 169,10","PLN 177,07","PLN 185,05","PLN 184,28","https://qr-codes-page.vercel.app/product/recT758bo4u3nnzkh, J_4019_MATT_3050_4200_38"
recCveJwUnXFD4NLr,J_4821A/5092_GR_3050_4200_38,4821A/5092,GR,ASFALT SZARO-CZARNY,https://qr-codes-page.vercel.app/product/recCveJwUnXFD4NLr,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,38,1_2,Juan,,"PLN 87,29","PLN 176,76","PLN 184,56","PLN 192,34","PLN 215,09","PLN 146,33","PLN 179,88","PLN 187,86","PLN 195,84","PLN 192,02","https://qr-codes-page.vercel.app/product/recCveJwUnXFD4NLr, J_4821A/5092_GR_3050_4200_38"
rec4xBkQa81mDbjr0,J_1190_GR_3050_4200_38,1190,GR,BIAŁY,https://qr-codes-page.vercel.app/product/rec4xBkQa81mDbjr0,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,38,1_2,Juan,,"PLN 87,29","PLN 176,76","PLN 184,56","PLN 192,34","PLN 215,09","PLN 146,33","PLN 179,88","PLN 187,86","PLN 195,84","PLN 192,02","https://qr-codes-page.vercel.app/product/rec4xBkQa81mDbjr0, J_1190_GR_3050_4200_38"
recOGZaEtAgmhBa8o,J_1059_QUARY_3050_4200_38,1059,QUARY,BIAŁY KAMIEŃ,https://qr-codes-page.vercel.app/product/recOGZaEtAgmhBa8o,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,38,1_2,Juan,,"PLN 87,29","PLN 176,76","PLN 184,56","PLN 192,34","PLN 215,09","PLN 146,33","PLN 179,88","PLN 187,86","PLN 195,84","PLN 192,02","https://qr-codes-page.vercel.app/product/recOGZaEtAgmhBa8o, J_1059_QUARY_3050_4200_38"
recTfAdsaaX84Scyo,J_3220_STR2_3050_4200_38,3220,STR2,DĄB EUREKA,https://qr-codes-page.vercel.app/product/recTfAdsaaX84Scyo,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,38,1_2,Juan,,"PLN 87,29","PLN 176,76","PLN 184,56","PLN 192,34","PLN 215,09","PLN 146,33","PLN 179,88","PLN 187,86","PLN 195,84","PLN 192,02","https://qr-codes-page.vercel.app/product/recTfAdsaaX84Scyo, J_3220_STR2_3050_4200_38"
reclJ927z5vY8nmCp,J_3156_WGR2_3050_4200_38,3156,WGR2,DĄB SONOMA,https://qr-codes-page.vercel.app/product/reclJ927z5vY8nmCp,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,38,1_2,Juan,,"PLN 87,29","PLN 176,76","PLN 184,56","PLN 192,34","PLN 215,09","PLN 146,33","PLN 179,88","PLN 187,86","PLN 195,84","PLN 192,02","https://qr-codes-page.vercel.app/product/reclJ927z5vY8nmCp, J_3156_WGR2_3050_4200_38"
reczDLK6RZnF9Zhg9,J_5156_SILK_3050_4200_38,5156,SILK,KAMIEŃ GREENPORT,https://qr-codes-page.vercel.app/product/reczDLK6RZnF9Zhg9,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,38,1_2,Juan,,"PLN 87,29","PLN 176,76","PLN 184,56","PLN 192,34","PLN 215,09","PLN 146,33","PLN 179,88","PLN 187,86","PLN 195,84","PLN 192,02","https://qr-codes-page.vercel.app/product/reczDLK6RZnF9Zhg9, J_5156_SILK_3050_4200_38"
recEEDj9eZhRVICbW,J_3197_STR1_3050_4200_38,3197,STR1,KLEPKA DĘBOWA,https://qr-codes-page.vercel.app/product/recEEDj9eZhRVICbW,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,38,1_2,Juan,,"PLN 87,29","PLN 176,76","PLN 184,56","PLN 192,34","PLN 215,09","PLN 146,33","PLN 179,88","PLN 187,86","PLN 195,84","PLN 192,02","https://qr-codes-page.vercel.app/product/recEEDj9eZhRVICbW, J_3197_STR1_3050_4200_38"
