id,code,decor,structure,name,url,category,sellUnit,label,length,width,description,isNew,thickness,side,producer,additional_info,price_600_m_1,price_700_m_1,price_800_m_1,price_900_m_1,price_1200_m_1,price_600_m_2,price_700_m_2,price_800_m_2,price_900_m_2,price_1200_m_2_2,url + code
recBGLycfEsKQ3ouX,K_190_RS_4100,190,RS,CZARNY,https://qr-codes-page.vercel.app/product/recBGLycfEsKQ3ouX,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",K,4100,600;900;1200,"Blat roboczy, jednostronnie zaoblony.",,38,1,Kronospan,,"PLN 332,31",,,"PLN 542,23","PLN 723,81",,,,,,"https://qr-codes-page.vercel.app/product/recBGLycfEsKQ3ouX, K_190_RS_4100"
recniDr2wZXkBvMQa,K_3025_WO_4100,3025,WO,DĄB SONOMA JASNY,https://qr-codes-page.vercel.app/product/recniDr2wZXkBvMQa,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",K,4100,600;900;1200,"Blat roboczy, jednostronnie zaoblony.",,38,1,Kronospan,,"PLN 332,31",,,"PLN 542,23","PLN 723,81",,,,,,"https://qr-codes-page.vercel.app/product/recniDr2wZXkBvMQa, K_3025_WO_4100"
recsE08MuivWFOJmB,K_7045_RS_4100,7045,RS,SZAMPAŃSKI,https://qr-codes-page.vercel.app/product/recsE08MuivWFOJmB,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",K,4100,600;1200,"Blat roboczy, jednostronnie zaoblony.",,38,1,Kronospan,,"PLN 332,31",,,,"PLN 723,81",,,,,,"https://qr-codes-page.vercel.app/product/recsE08MuivWFOJmB, K_7045_RS_4100"
rec1CBTbOQ4dZMbjz,K_7240_WO_4100,7240,WO,DĄB COUNTRY SZARY,https://qr-codes-page.vercel.app/product/rec1CBTbOQ4dZMbjz,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",K,4100,600;1200,"Blat roboczy, jednostronnie zaoblony.",,38,1,Kronospan,,"PLN 332,31",,,,"PLN 723,81",,,,,,"https://qr-codes-page.vercel.app/product/rec1CBTbOQ4dZMbjz, K_7240_WO_4100"
rec2btpoZdcZvHySY,K_8685_RS_4100,8685,RS,BIEL ALPEJSKA,https://qr-codes-page.vercel.app/product/rec2btpoZdcZvHySY,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",K,4100,600;1200,"Blat roboczy, jednostronnie zaoblony.",,38,1,Kronospan,,"PLN 332,31",,,,"PLN 723,81",,,,,,"https://qr-codes-page.vercel.app/product/rec2btpoZdcZvHySY, K_8685_RS_4100"
recgdpYpTDKhVFI6A,K_K091_ FP_4100,K091, FP,DĄB PORTERHOUSE JASNY,https://qr-codes-page.vercel.app/product/recgdpYpTDKhVFI6A,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",K,4100,600;900;1200,"Blat roboczy, jednostronnie zaoblony.",,38,1,Kronospan,,"PLN 332,31",,,,"PLN 723,81",,,,,,"https://qr-codes-page.vercel.app/product/recgdpYpTDKhVFI6A, K_K091_ FP_4100"
recVI1QOsYmMpEZkk,K_K092_FP_4100,K092,FP,DĄB PORTERHOUSE CIEMNY,https://qr-codes-page.vercel.app/product/recVI1QOsYmMpEZkk,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",K,4100,600;1200,"Blat roboczy, jednostronnie zaoblony.",,38,1,Kronospan,,"PLN 332,31",,,"PLN 542,23","PLN 723,81",,,,,,"https://qr-codes-page.vercel.app/product/recVI1QOsYmMpEZkk, K_K092_FP_4100"
recXWNKh93Ta01IP4,K_K203_PE_4100,K203,PE,GRANIT ANTRACYT,https://qr-codes-page.vercel.app/product/recXWNKh93Ta01IP4,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",K,4100,600;1200,"Blat roboczy, jednostronnie zaoblony.",,38,1,Kronospan,,"PLN 332,31",,,,"PLN 723,81",,,,,,"https://qr-codes-page.vercel.app/product/recXWNKh93Ta01IP4, K_K203_PE_4100"
recowvAheXG0Mik7V,K_K204_PE_4100,K204,PE,GRANIT KLASYCZNY,https://qr-codes-page.vercel.app/product/recowvAheXG0Mik7V,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",K,4100,600;1200,"Blat roboczy, jednostronnie zaoblony.",,38,1,Kronospan,,"PLN 332,31",,,,"PLN 723,81",,,,,,"https://qr-codes-page.vercel.app/product/recowvAheXG0Mik7V, K_K204_PE_4100"
recR0q0m0Q1nhO6Vh,K_K206_PE_4100,K206,PE,ORZECH PORTERHOUSE,https://qr-codes-page.vercel.app/product/recR0q0m0Q1nhO6Vh,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",K,4100,600;1200,"Blat roboczy, jednostronnie zaoblony.",,38,1,Kronospan,,"PLN 332,31",,,,"PLN 723,81",,,,,,"https://qr-codes-page.vercel.app/product/recR0q0m0Q1nhO6Vh, K_K206_PE_4100"
